Booking_Key,FK_Customer_Key,FK_Date_Key,FK_Movies_Key,FK_Theater_Key,FK_PromoCode_Key,Sales,TicketsSold,CancelledAmount,CancelledQuantity,PromoCodeValue,Customer_Key,Name,Address,City_Customer,Zip,State_Customer,Country_Customer,date_key,date,year,month,day,week,quarter,day_in_week,month_name,day_name,Movie_Key,Title,Rating,Genre,Theater_Key,Theater_Name,Theater_ParentGroup,Country_theater,State_theater,City_theater,ZipCode,PromoCode_Key,PromoCode,Overall_Profit
1,1,96,3,2,No Key,15,2,0.0,2,0.0,1,Eugenia Simon,1593 Proin Av.,Timaru,71686,South Island,US,96,2019-04-06,2019,4,6,14,2,7,April,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,No Key,Not Availabe,0.0
2,2,262,3,1,No Key,15,2,0.0,2,0.0,2,Daryl Petty,121-3812 Faucibus. Rd.,Leominster,65925,HE,US,262,2019-09-19,2019,9,19,38,3,5,September,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,No Key,Not Availabe,0.0
3,3,64,3,1,No Key,15,2,0.0,2,0.0,3,Deborah Tran,"5166 In, Av.",Amstelveen,64459,Noord Holland,US,64,2019-03-05,2019,3,5,10,1,3,March,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,No Key,Not Availabe,0.0
4,4,168,3,3,No Key,15,2,10.0,2,0.0,4,Macy Acevedo,250 Sem Street,Minna,88009,Niger,US,168,2019-06-17,2019,6,17,25,2,2,June,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,No Key,Not Availabe,10.0
5,5,11,3,1,No Key,15,2,0.0,2,0.0,5,Tatyana Kelley,"196-2531 Pellentesque, St.",Burnie,48560,TAS,US,11,2019-01-11,2019,1,11,2,1,6,January,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,No Key,Not Availabe,0.0
6,6,189,3,2,No Key,15,2,0.0,2,0.0,6,Jason Hughes,476-7443 In Road,San Ramón,82828,RM,US,189,2019-07-08,2019,7,8,28,3,2,July,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,No Key,Not Availabe,0.0
7,7,271,3,3,No Key,15,2,0.0,2,0.0,7,Guinevere Cherry,"5452 Amet, St.",Vienna,17796,Wie,US,271,2019-09-28,2019,9,28,39,3,7,September,Tuesday,3,Morbi neque,1,Action,3,Ullamcorper Magna Incorporated,Century,US,LX,Bastogne,25959,No Key,Not Availabe,0.0
8,8,148,3,1,No Key,15,2,0.0,2,0.0,8,Risa Downs,3846 Morbi St.,Flushing,81127,Zeeland,US,148,2019-05-28,2019,5,28,22,2,3,May,Tuesday,3,Morbi neque,1,Action,1,Curabitur Ltd,Century,US,ON,Whitby,81324,No Key,Not Availabe,0.0
9,9,247,3,2,No Key,15,2,0.0,2,0.0,9,Aretha Carr,Ap #661-2419 Consectetuer Av.,Thunder Bay,54105,ON,US,247,2019-09-04,2019,9,4,36,3,4,September,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,No Key,Not Availabe,0.0
10,10,149,3,2,No Key,15,2,0.0,2,0.0,10,Hollee Alvarez,"457-3460 Lorem, Rd.",Port Augusta,77514,South Australia,US,149,2019-05-29,2019,5,29,22,2,4,May,Tuesday,3,Morbi neque,1,Action,2,Velit Pellentesque Ultricies LLP,Century,US,MI,Flint,40101,No Key,Not Availabe,0.0
